dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
nonlinear_no_conf_f10_s500_p50,LGBM,PC,Asymmetric,6.812388425269217,0.2633408213965658,0.03865616652446809,5,5,3.3813496494387683,0.23306914328765288,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,PC,Causal,4.826101493839288,0.24273696378018927,0.05029669684528034,5,5,2.8960806877629053,0.2178212397056845,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,PC,Flow,0.1526718727172887,0.05008564274381044,0.3280607085796145,1,5,0.9027968626417984,0.17941449573353532,1,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",0.2,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,LINGAM,Scratch,6.0586936887005525,0.2594162377441103,0.04281718982227488,5,5,0.9886116600827307,0.1497367959856103,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,LINGAM,Asymmetric,5.595155163321274,0.2686265524056567,0.04801056352585591,5,5,0.9977120161834422,0.15802864106193032,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,LINGAM,Causal,5.390566078883225,0.25176028075681633,0.04670386691725223,5,5,1.0235597141787762,0.15203157475347262,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,LGBM,LINGAM,Flow,1.9382038056285793,0.14663899638039343,0.07565716048774185,3,5,3.131047943748605,0.24401039312719613,2,2,"[1, 2, 3, 4, 6]","[1, 8]",0.6,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,PC,Scratch,4.406507693053854,0.27472016493548684,0.06234419274214333,5,5,2.9410786426688422,0.2515384425059971,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,PC,Asymmetric,4.2159693489604875,0.2921057292526382,0.06928554386304099,5,5,2.2708823375245313,0.2509038768037754,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,PC,Causal,4.4152330464546985,0.26367219240471373,0.059718748621080085,5,5,3.0811473461250998,0.24415073879863294,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,PC,Flow,0.12013836137356355,0.05947487236797788,0.49505313446921484,1,5,0.9386167616203476,0.26848487659328446,1,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",0.2,nonlinear_no
