feature;true_parent;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank
X38;True;-0,0013721496199041471;0,42925827825893714;14;0,011313231904014955;0,4201368084898711;13;-0,0023417101402287044;0,4647508916484762;14;0,1146649388580721;0,4368376524200711;16;-0,0033692130341590274;0,4349488290436556;13;-0,015466505464528444;0,3331577515074053;19;0,04764547417004028;0,19473940037550602;26
X28;True;0,019560204435586866;0,4129512641588628;15;0,06141070043259873;0,40053626057838826;15;0,014140390343178925;0,1829253441840896;30;0,11374695617992106;0,28542740577241643;24;0,04137008659981031;0,4170727456812983;15;0,018971307909401425;0,14812565804447803;35;0,010791265593373546;0,13151494494524296;36
X3;True;-0,034554673053148736;0,3428218295733212;16;-0,04399001789761159;0,3348066928461517;16;-0,04448623011296928;0,7998642349860691;8;-0,07531827702375567;0,8381830874575253;5;-0,043160938758950655;0,34235910388181096;16;-0,12300487569360255;0,9231947522865351;5;-0,06875690453864525;0,8794881899876009;3
X11;True;0,000177253346654066;0,3100285917727384;17;-0,0003755060727941892;0,32291786931683214;17;0,008813475486059458;0,19806086111382895;29;0,0016921724963242873;0,22732017610034191;26;-0,041339946530047106;0,3047941622425644;19;-0,0026787361890133333;0,1614010894054843;33;-0,0026248742349493604;0,0587790280101136;44
X39;True;-0,002299870644793188;0,304723411734014;18;-0,0016550118061420122;0,3052478319307114;19;0,028873506091099944;0,24161080091240347;25;0,02286598886344167;0,2908841782747696;23;0,0017951884892293962;0,31078031273544526;18;0,01376741288048214;0,14329963920852024;36;0,002412997032422673;0,05166814910873018;45
X18;True;-0,0047408657348241914;0,30372983301430156;19;-0,029875785434857076;0,3202493086107491;18;0,039898618737097144;0,29098260065960097;23;-0,04053349840755043;0,17102008359521295;29;-0,017764473444497008;0,32133493395989;17;0,03485335945218302;0,1429650773158195;37;-0,018140150260562066;0,061987074750755225;43
X48;False;-0,052276750043086045;0,2932392038456645;20;-0,014615622525441518;0,29664361652808674;20;-0,015984040363239374;0,17671231558029976;32;0,0016338336439756646;0,12585731600594077;36;-0,0748842557713546;0,2984596991306697;20;-0,029652590526796602;0,16822329488853477;31;-0,0020252037888807;0,09576329854825046;39
X49;False;-0,0079414416469194;0,28020751322880794;21;0,00012432607978394295;0,27770570201365125;21;0,005711811819116354;0,21825468048807045;28;0,008649647629410133;0,14381529365282664;34;-0,05960954228001536;0,2847153712236168;21;-0,06363916631630126;0,3313353367858868;20;-0,024235457112171052;0,17534534973014326;30
X8;True;-0,06116958115357395;0,275600580431963;22;-0,05867055781951036;0,2684101132250347;22;-0,07085573756384175;0,3419524159497791;20;-0,06212253388576347;0,36124002507770747;19;-0,05582341475610002;0,26479853710991796;24;-0,08136622263832362;0,31493245952982263;21;-0,05185737292923551;0,36849127387020614;14
X34;True;-0,010275526696916273;0,26785661013194706;23;-0,021133406356274528;0,26827788382166157;23;-0,029405884716767253;0,31160672891222724;21;0,059079662544498014;0,40577239463892495;18;-0,003176818130718139;0,26978238989146536;23;-0,08245100302998626;0,343984656663503;17;0,00830720942509712;0,09056511143695375;41
X37;False;0,007597530578467705;0,2643765522415581;24;0,07831865562699067;0,26367350652385785;24;0,008413827204203483;0,2212404480264287;27;-0,005801155747442154;0,10862785695020692;38;-0,04728044648749586;0,2743175724394506;22;0,022633415964025964;0,126750277619239;41;0,00043480035676845885;0,04294966119077159;47
X17;True;-0,038576170342808795;0,26153061760702007;25;-0,05182031543352263;0,26076536273276446;25;-0,033289193212489805;0,12290644535634437;39;-0,003124781695981294;0,1130381895900465;37;-0,053642355235590564;0,26460708927908455;25;-0,012587890623401259;0,09300772105158289;46;-0,007020075461619153;0,04482983734699836;46
X5;True;0,005621034531051233;0,25679606530076216;26;-0,04208391970614802;0,25590781249362693;26;-0,014706783092315266;0,11528395246159269;41;0,004424144908668919;0,2477588821466944;25;0,03151000930455506;0,2531556676465217;26;-0,013532367216310438;0,13130938168607664;40;-0,03536590783730464;0,16658472050787432;32
X26;True;0,016898742907216834;0,2227698378386794;27;0,0006382107365084513;0,22208937182217883;27;0,019818782042030157;0,13572002193321142;36;0,021233403261200073;0,08088585173573754;41;0,0006129600301590699;0,21892579012675134;28;-0,001053025177188044;0,12579228961048114;42;0,04673870571403995;0,3161377658929799;17
X29;False;0,04471745429738059;0,22007357063147914;28;0,10120735970937894;0,21602999578352658;28;0,026126515702064174;0,47038626773897074;13;-0,001597358862330211;0,4930475061185044;14;0,09682139603240579;0,2414443549829897;27;0,12853650156275223;1,3101654542061616;3;-0,03859938570305815;0,46268729297452843;9
X22;False;-0,02108343736380252;0,19339307086135563;29;-0,043641830380216795;0,19298682899813613;29;-0,024115317297349236;0,29208469102947454;22;-0,012794288077959784;0,14774506657384598;33;-0,019108916454020543;0,1940091332462546;29;-0,005564053997625;0,18400532210227338;30;-0,01381923774929201;0,3951332285452331;11
X36;False;0,031885277627403445;0,16337534289844338;30;0,0412523225151388;0,16588008561037146;31;0,010863807312067547;0,12051967700078388;40;0,027780793445519408;0,1691829930677592;30;0,03914216920892637;0,1547354865396879;31;0,038091375889909525;0,3017259483620907;23;0,04137487739785807;0,30933405801568464;18
X9;False;-0,013269033685640735;0,15715084890916514;31;-0,01374743386309265;0,16443054062728582;32;-0,00801514713547635;0,10385410597137516;43;-0,0106056981243902;0,07012979601619079;43;0,0013303627862845913;0,1561559949568957;30;2,3986932515489557e-05;0,498130113526238;10;0,009775638247464174;0,3912059178498154;12
